Lookup Key,Duty % only,PAL % only,SSCL % only,Cess % only,Surcharge % only,Dual % and unit,Total Per unit charge,VAT %,,,
0101.21,0.095,0,0.025,0,0,,0,0.18,,,
0101.29,0,0,0.025,0,0,,0,0.18,,,
0101.30,0,0,0.025,0,0,,0,0.18,,,
0101.90,0,0,0.025,0,0,,0,0.18,,,
0102.21,0,0,0,0,0,,0,0.18,,,
0102.29,0,0,0.025,0,0,,0,0.18,,,
0102.31,0,0,0.025,0,0,,0,0.18,,,
0102.39,0,0,0.025,0,0,,0,0.18,,,
0102.90,0,0,0.025,0,0,,0,0.18,,,
0103.10,0,0,0.025,0,0,,0,0.18,,,
0103.91,0.3,0,0.025,0,0,,0,0.18,,,
0103.92,0.2,0,0.025,0,0,,0,0.18,,,
0104.10.10,0,0,0.025,0,0,,0,0.18,,,
0104.10.90,0.25,0,0.025,0,0,,0,0.18,,,
0104.20.10,0,0,0,0,0,,0,0.18,,,
0104.20.90,0,0,0.025,0,0,,0,0.18,,,
0105.11.10,0,0,0.025,0,0,,0,0.18,,,
0105.11.20,0,0,0.025,0,0,,0,0.18,,,
0105.11.90,0,0,0.025,0,0,,0,0.18,,,
0105.12.10,0,0,0.025,0,0,,0,0.18,,,
0105.12.90,0,0,0.025,0,0,,0,0.18,,,
0105.13.10,0,0,0.025,0,0,,0,0.18,,,
0105.13.90,0,0,0.025,0,0,,0,0.18,,,
0105.14.10,0,0,0.025,0,0,,0,0.18,,,
0105.14.90,0,0,0.025,0,0,,0,0.18,,,
0105.15.10,0,0,0.025,0,0,,0,0.18,,,
0105.15.90,0,0,0.025,0,0,,0,0.18,,,
0105.94,0,0,0.025,0,0,,0,0.18,,,
0105.99,0,0,0.025,0,0,,0,0.18,,,
0106.11,0.1,0,0.025,0,0,,0,0.18,,,
0106.12,0.1,0,0.025,0,0,,0,0.18,,,
0106.13,0.1,0,0.025,0,0,,0,0.18,,,
0106.14,0.1,0,0.025,0,0,,0,0.18,,,
0106.19.10,0.1,0,0.025,0,0,,0,0.18,,,
0106.19.20,0.1,0,0.025,0,0,,0,0.18,,,
0106.19.90,0.1,0,0.025,0,0,,0,0.18,,,
0106.20,0.1,0,0.025,0,0,,0,0.18,,,
0106.31,0.1,0,0.025,0,0,,0,0.18,,,
0106.32,0.1,0,0.025,0,0,,0,0.18,,,
0106.33,0.1,0,0.025,0,0,,0,0.18,,,
0106.39,0.1,0,0.025,0,0,,0,0.18,,,
0106.41,0.1,0,0.025,0,0,,0,0.18,,,
0106.49,0.1,0,0.025,0,0,,0,0.18,,,
0106.90,0.1,0,0.025,0,0,,0,0.18,,,
0201.10,0.25,0,0.025,0,0,,0,0.18,,,
0201.20,0.25,0,0.025,0,0,,0,0.18,,,
0201.30,0.25,0,0.025,0,0,,0,0.18,,,
0202.10,0.25,0,0.025,0,0,,0,0.18,,,
0202.20,0.25,0.16,0.025,0,0,,0,0.18,,,
0202.30,0.25,0.16,0.025,0,0,,0,0.18,,,
0203.11,0.2,0,0.025,0,0,,0,0.18,,,
0203.12,0.2,0,0.025,0,0,,0,0.18,,,
0203.19,0.2,0,0.025,0,0,,0,0.18,,,
0203.21,0.2,0,0.025,0,0,,0,0.18,,,
0203.22,0.2,0.16,0.025,0,0,,0,0.18,,,
0203.29,0.2,0,0.025,0,0,,0,0.18,,,
0204.10,0.2,0,0.025,0,0,,0,0.18,,,
0204.21,0.2,0,0.025,0,0,,0,0.18,,,
0204.22,0.2,0,0.025,0,0,,0,0.18,,,
0204.23,0.2,0,0.025,0,0,,0,0.18,,,
0204.30,0.2,0.16,0.025,0,0,,0,0.18,,,
0204.41,0.2,0.16,0.025,0,0,,0,0.18,,,
0204.42,0.2,0.16,0.025,0,0,,0,0.18,,,
0204.43,0.2,0.16,0.025,0,0,,0,0.18,,,
0204.50,0.2,0.16,0.025,0.1,0,,0,0.18,,,
0205.00,0.25,0,0.025,0,0,,0,0.18,,,
0206.10,0.25,0.16,0.025,0,0,,0,0.18,,,
0206.21,0.25,0,0.025,0,0,,0,0.18,,,
0206.22,0.3,0,0.025,0,0,,0,0.18,,,
0206.29,0.25,0,0.025,0,0,,0,0.18,,,
0206.30,0.2,0,0.025,0,0,,0,0.18,,,
0206.41,0.2,0,0.025,0,0,,0,0.18,,,
0206.49,0.2,0,0.025,0,0,,0,0.18,,,
0206.80,0.2,0,0.025,0,0,,0,0.18,,,
0206.90,0.2,0,0.025,0,0,,0,0.18,,,
0207.11,0,0,0.025,0,0,,220,0.18,,,
0207.12,0,0,0.025,0,0,,220,0.18,,,
0207.13,0,0,0.025,0,0,,220,0.18,,,
0207.14,0,0,0.025,0,0,,220,0.18,,,
0207.24,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.25,0.2,0.1,0.025,0.1,0,,0,0.18,,,
0207.26,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.27,0.25,0,0.025,0.1,0,,0,0.18,,,
0207.41,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.42,0.2,0.1,0.025,0.1,0,,0,0.18,,,
0207.43,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.44,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.45,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.51,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.52,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.53,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.54,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.55,0.2,0,0.025,0.1,0,,0,0.18,,,
0207.60,0.2,0,0.025,0.1,0,,0,0.18,,,
0208.10,0.48,0,0.025,0,0,,0,0.18,,,
0208.30,0.3,0,0.025,0,0,,0,0.18,,,
0208.40,0.3,0,0.025,0,0,,0,0.18,,,
0208.50,0.3,0,0.025,0,0,,0,0.18,,,
0208.60,0.3,0,0.025,0,0,,0,0.18,,,
0208.90,0,0,0,0,0,,0,0,,,
0208.90.10,0.3,0,0.025,0,0,,0,0.18,,,
0208.90.90,0.3,0,0.025,0,0,,0,0.18,,,
0209.10,0.25,0,0.025,0,0,,0,0.18,,,
0209.90,0.25,0,0.025,0,0,,0,0.18,,,
0210.11,0.3,0,0.025,0.1,0,,0,0.18,,,
0210.12,0.3,0.1,0.025,0.1,0,,0,0.18,,,
0210.19,0.3,0,0.025,0.1,0,,0,0,,,
0210.20,0.3,0,0.025,0.1,0,,0,0.18,,,
0210.91,0.3,0,0.025,0,0,,0,0.18,,,
0210.92,0.3,0,0.025,0,0,,0,0.18,,,
0210.93,0.3,0,0.025,0,0,,0,0.18,,,
0210.99,0.3,0,0.025,0.1,0,,0,0.18,,,
0301.11.10,0,0,0.025,0,0,,0,0.18,,,
0301.11.90,0,0.16,0.025,0,0,,0,0.18,,,
0301.19.10,0,0,0.025,0,0,,0,0.18,,,
0301.19.90,0,0.16,0.025,0,0,,0,0.18,,,
0301.91,0,0,0.025,0,0,,0,0.18,,,
0301.92,0,0,0.025,0,0,,0,0.18,,,
0301.93,0,0.16,0.025,0,0,,0,0.18,,,
0301.94,0,0,0.025,0,0,,0,0.18,,,
0301.95,0,0,0.025,0,0,,0,0.18,,,
0301.99,0,0.16,0.025,0,0,,0,0.18,,,
0302.11,0.295,0,0.025,0,0,,0,0.18,,,
0302.13,0.295,0,0.025,0,0,,0,0.18,,,
0302.14,0.295,0,0.025,0,0,,0,0.18,,,
0302.19,0.295,0,0.025,0,0,,0,0.18,,,
0302.21,0.295,0,0.025,0,0,,0,0.18,,,
0302.22,0.295,0,0.025,0,0,,0,0.18,,,
0302.23,0.295,0,0.025,0,0,,0,0.18,,,
0302.24,0.295,0,0.025,0,0,,0,0.18,,,
0302.29,0.295,0,0.025,0,0,,0,0.18,,,
0302.31,0.295,0,0.025,0,0,,0,0.18,,,
0302.32,0.295,0,0.025,0,0,,0,0.18,,,
0302.33,0.295,0,0.025,0,0,,0,0.18,,,
0302.34,0.295,0,0.025,0,0,,0,0.18,,,
0302.35,0.295,0,0.025,0,0,,0,0.18,,,
0302.36,0.295,0,0.025,0,0,,0,0.18,,,
0302.39,0.295,0,0.025,0,0,,0,0.18,,,
0302.41,0.295,0,0.025,0,0,,0,0.18,,,
0302.42,0.295,0,0.025,0,0,,0,0.18,,,
0302.43,0.295,0,0.025,0,0,,0,0.18,,,
0302.44,0.295,0,0.025,0,0,,0,0.18,,,
0302.45,0.295,0,0.025,0,0,,0,0.18,,,
0302.46,0.295,0,0.025,0,0,,0,0.18,,,
0302.47,0.295,0,0.025,0,0,,0,0.18,,,
0302.49,0.2,0,0.025,0,0,,0,0.18,,,
0302.51,0.295,0,0.025,0,0,,0,0.18,,,
0302.52,0.295,0,0.025,0,0,,0,0.18,,,
0302.53,0.295,0,0.025,0,0,,0,0.18,,,
0302.54,0.295,0,0.025,0,0,,0,0.18,,,
0302.55,0.295,0,0.025,0,0,,0,0.18,,,
0302.56,0.295,0,0.025,0,0,,0,0.18,,,
0302.59,0.295,0,0.025,0,0,,0,0.18,,,
0302.71,0.295,0,0.025,0,0,,0,0.18,,,
0302.72,0.295,0,0.025,0,0,,0,0.18,,,
0302.73,0.295,0,0.025,0,0,,0,0.18,,,
0302.74,0.295,0,0.025,0,0,,0,0.18,,,
0302.79,0.295,0,0.025,0,0,,0,0.18,,,
0302.81,0.295,0,0.025,0,0,,0,0.18,,,
0302.82,0.295,0,0.025,0,0,,0,0.18,,,
0302.83,0.295,0,0.025,0,0,,0,0.18,,,
0302.84,0.295,0,0.025,0,0,,0,0.18,,,
0302.85,0.295,0,0.025,0,0,,0,0.18,,,
0302.89.10,0.295,0,0.025,0,0,,0,0.18,,,
0302.89.90,0.295,0,0.025,0,0,,0,0.18,,,
0302.91,0.295,0,0.025,0,0,,0,0.18,,,
0302.92,0.2,0,0.025,0,0,,0,0.18,,,
0302.99,0.2,0,0.025,0,0,,0,0.18,,,
0303.11,0.295,0,0.025,0,0,,0,0.18,,,
0303.12,0.295,0,0.025,0,0,,0,0.18,,,
0303.13,0.295,0,0.025,0,0,,0,0.18,,,
0303.14,0.295,0,0.025,0,0,,0,0.18,,,
0303.19,0.295,0,0.025,0,0,,0,0.18,,,
0303.23,0.38,0,0.025,0,0,,0,0.18,,,
0303.24,0.38,0,0.025,0,0,,0,0.18,,,
0303.25,0.38,0,0.025,0,0,,0,0.18,,,
0303.26,0.295,0,0.025,0,0,,0,0.18,,,
0303.29,0.295,0,0.025,0,0,,0,0.18,,,
0303.31,0.295,0,0.025,0,0,,0,0.18,,,
0303.32,0.295,0,0.025,0,0,,0,0.18,,,
0303.33,0.295,0,0.025,0,0,,0,0.18,,,
0303.34,0.295,0,0.025,0,0,,0,0.18,,,
0303.39,0.295,0,0.025,0,0,,0,0.18,,,
0303.41,0.295,0,0.025,0,0,,0,0.18,,,
0303.42,0.38,0,0.025,0,0,,0,0.18,,,
0303.43,0.38,0,0.025,0,0,,0,0.18,,,
0303.44,0.38,0,0.025,0,0,,0,0.18,,,
0303.45,0.38,0,0.025,0,0,,0,0.18,,,
0303.46,0.38,0,0.025,0,0,,0,0.18,,,
0303.49,0.38,0,0.025,0,0,,0,0.18,,,
0303.51,0.295,0,0.025,0,0,,0,0.18,,,
0303.53,0.295,0,0.025,0,0,,0,0.18,,,
0303.54,0.38,0,0.025,0,0,,0,0.18,,,
0303.55,0.38,0,0.025,0,0,,0,0.18,,,
0303.56,0.38,0,0.025,0,0,,0,0.18,,,
0303.57,0.295,0,0.025,0,0,,0,0.18,,,
0303.59,0.2,0,0.025,0,0,,0,0.18,,,
0303.63,0.295,0,0.025,0,0,,0,0.18,,,
0303.64,0.295,0,0.025,0,0,,0,0.18,,,
0303.65,0.295,0,0.025,0,0,,0,0.18,,,
0303.66,0.295,0,0.025,0,0,,0,0.18,,,
0303.67,0.38,0,0.025,0,0,,0,0.18,,,
0303.68,0.38,0,0.025,0,0,,0,0.18,,,
0303.69,0.38,0,0.025,0,0,,0,0.18,,,
0303.81,0.295,0,0.025,0,0,,0,0.18,,,
0303.82,0.38,0,0.025,0,0,,0,0.18,,,
0303.83,0.295,0,0.025,0,0,,0,0.18,,,
0303.84,0.295,0,0.025,0,0,,0,0.18,,,
0303.89.10,0.38,0,0.025,0,0,,0,0.18,,,
0303.89.90,0.38,0,0.025,0,0,,0,0.18,,,
0303.91,0.295,0,0.025,0,0,,0,0.18,,,
0303.92,0.2,0,0.025,0,0,,0,0.18,,,
0303.99.10,0.2,0,0.025,0,0,,0,0.18,,,
0303.99.90,0.2,0,0.025,0,0,,0,0.18,,,
0304.31,0.2,0,0.025,0,0,,0,0.18,,,
0304.32,0.2,0,0.025,0,0,,0,0.18,,,
0304.33,0.2,0,0.025,0,0,,0,0.18,,,
0304.39,0.2,0,0.025,0,0,,0,0.18,,,
0304.41.00,0.2,0.16,0.025,0,0,,0,0.18,,,
0304.42.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.43.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.44.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.45.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.46.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.47.10,0.2,0.1,0.025,0,0,,0,0.18,,,
0304.47.90,0.2,0,0.025,0,0,,0,0.18,,,
0304.48.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.49.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.51.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.52.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.53.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.54.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.55.00,0.2,0,0.025,0,0,,0,0.18,,,
0304.56.10,0.2,0,0.025,0,0,,0,0.18,,,
0304.56.90,0.2,0,0.025,0,0,,0,0.18,,,
0304.57,0.2,0,0.025,0,0,,0,0.18,,,
0304.59,0.2,0.1,0.025,0,0,,0,0.18,,,
0304.61,0.295,0,0.025,0,0,,0,0.18,,,
0304.62,0.295,0.16,0.025,0,0,,0,0.18,,,
0304.63,0.295,0,0.025,0,0,,0,0.18,,,
0304.69,0.295,0,0.025,0,0,,0,0.18,,,
0304.71,0.295,0,0.025,0,0,,0,0.18,,,
0304.72,0.295,0,0.025,0,0,,0,0.18,,,
0304.73,0.295,0,0.025,0,0,,0,0.18,,,
0304.74,0.295,0,0.025,0,0,,0,0.18,,,
0304.75,0.295,0,0.025,0,0,,0,0.18,,,
0304.79,0.295,0,0.025,0,0,,0,0.18,,,
0304.81,0.295,0,0.025,0,0,,0,0.18,,,
0304.82,0.295,0,0.025,0,0,,0,0.18,,,
0304.83,0.295,0,0.025,0,0,,0,0.18,,,
0304.84,0.295,0,0.025,0,0,,0,0.18,,,
0304.85,0.295,0,0.025,0,0,,0,0.18,,,
0304.86,0.295,0,0.025,0,0,,0,0.18,,,
0304.87,0,0,0,0,0,,0,0,,,
0304.87.10,0.295,0,0.025,0,0,,0,0.18,,,
0304.87.90,0.295,0,0.025,0,0,,0,0.18,,,
0304.88.10,0.295,0,0.025,0,0,,0,0.18,,,
0304.88.90,0.295,0,0.025,0,0,,0,0.18,,,
0304.89,0.295,0,0.025,0,0,,0,0.18,,,
0304.91,0.295,0,0.025,0,0,,0,0.18,,,
0304.92,0.295,0,0.025,0,0,,0,0.18,,,
0304.93,0.295,0.1,0.025,0,0,,0,0.18,,,
0304.94,0.295,0,0.025,0,0,,0,0.18,,,
0304.95,0.295,0,0.025,0,0,,0,0.18,,,
0304.96.10,0.295,0,0.025,0,0,,0,0.18,,,
0304.96.90,0.295,0,0.025,0,0,,0,0.18,,,
0304.97,0.295,0,0.025,0,0,,0,0.18,,,
0304.99,0.295,0,0.025,0,0,,0,0.18,,,
0305.20,0.295,0,0.025,0,0,,0,0.18,,,
0305.31,0.295,0,0.025,0,0,,7,0.18,,,
0305.32,0.295,0,0.025,0,0,,7,0.18,,,
0305.39,0.295,0.1,0.025,0,0,,7,0.18,,,
0305.41,0.295,0.1,0.025,0,0,,7,0.18,,,
0305.42,0.295,0,0.025,0,0,,7,0.18,,,
0305.43,0.295,0,0.025,0,0,,7,0.18,,,
0305.44,0.295,0,0.025,0,0,,7,0.18,,,
0305.49,0.295,0,0.025,0,0,,7,0.18,,,
0305.51,0,0,0.025,0,0,,36,0.18,,,
0305.52,0,0,0.025,0,0,,0,0.18,,,
0305.53,0,0,0.025,0,0,,0,0.18,,,
0305.54,0,0,0,0,0,,0,0,,,
0305.54.10,0,0,0.025,0,0,,0,0.18,,,
0305.54.90,0,0,0.025,0,0,,0,0.18,,,
0305.59.10,0,0,0.025,0,0,,0,0.18,,,
0305.59.30,0,0,0.025,0,0,,0,0.18,,,
0305.59.90,0,0,0.025,0,0,,0,0.18,,,
0305.61,0.295,0,0.025,0,0,,7,0.18,,,
0305.62,0.295,0,0.025,0,0,,7,0.18,,,
0305.63,0.295,0,0.025,0,0,,7,0.18,,,
0305.64,0.295,0,0.025,0,0,,7,0.18,,,
0305.69,0.295,0,0.025,0,0,,7,0.18,,,
0305.71,0.3,0,0.025,0,0,,15,0.18,,,
0305.72.10,0.3,0,0.025,0,0,,15,0.18,,,
0305.72.90,0,0,0.025,0,0,,0,0.18,,,
0305.79,0.295,0,0.025,0,0,,0,0.18,,,
0306.11,0.295,0,0.025,0,0,,0,0.18,,,
0306.12,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.14,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.15,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.16,0.295,0,0.025,0.4,0,40% or Rs.280/= per kg,0,0.18,,,
0306.17,0.295,0,0.025,0.4,0,40% or Rs.280/= per kg,0,0.18,,,
0306.19,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.31,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.32,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.33,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.34,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.35,0.295,0,0.025,0.4,0,40% or Rs.250/= per kg,0,0.18,,,
0306.36,0,0,0,0,0,,0,0,,,
0306.36.10,0.295,0.1,0.025,0,0,,0,0.18,,,
0306.36.90,0.295,0,0.025,0.4,0,40% or Rs.250/= per kg,0,0.18,,,
0306.39,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.91,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.92,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.93,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.94,0.295,0,0.025,0.1,0,,0,0.18,,,
0306.95,0.295,0.1,0.025,0.4,0,40% or Rs.230/= per kg,0,0.18,,,
0306.99,0.295,0,0.025,0.1,0,,0,0.18,,,
0307.11,0.295,0,0.025,0,0,,0,0.18,,,
0307.12,0.295,0,0.025,0,0,,0,0.18,,,
0307.19,0.295,0,0.025,0,0,,0,0.18,,,
0307.21,0,0,0,0,0,,0,0,,,
0307.21.10,0.295,0,0.025,0,0,,0,0.18,,,
0307.21.90,0.295,0,0.025,0,0,,0,0.18,,,
0307.22,0.295,0,0.025,0,0,,0,0.18,,,
0307.29,0.295,0,0.025,0,0,,0,0.18,,,
0307.31.10,0.295,0,0.025,0,0,,0,0.18,,,
0307.31.90,0.295,0,0.025,0,0,,0,0.18,,,
0307.32,0.295,0,0.025,0,0,,0,0.18,,,
0307.39,0.295,0,0.025,0,0,,0,0.18,,,
0307.42,0.295,0,0.025,0.1,0,,0,0.18,,,
0307.43,0.295,0.1,0.025,0.1,0,,0,0.18,,,
0307.49,0.295,0.1,0.025,0.1,0,,0,0.18,,,
0307.51.10,0.295,0,0.025,0,0,,0,0.18,,,
0307.51.90,0.295,0,0.025,0,0,,0,0.18,,,
0307.52,0.295,0,0.025,0,0,,0,0.18,,,
0307.59,0.295,0,0.025,0,0,,0,0.18,,,
0307.60.10,0.295,0,0.025,0,0,,0,0.18,,,
0307.60.90,0.295,0,0.025,0,0,,0,0.18,,,
0307.71,0.295,0,0.025,0,0,,0,0.18,,,
0307.72,0.2,0,0.025,0,0,,0,0.18,,,
0307.79,0.2,0,0.025,0,0,,0,0.18,,,
0307.81,0.295,0,0.025,0,0,,0,0.18,,,
0307.82,0.2,0,0.025,0.1,0,,0,0.18,,,
0307.83,0.2,0,0.025,0,0,,0,0.18,,,
0307.84,0.2,0,0.025,0.1,0,,0,0.18,,,
0307.87,0.2,0,0.025,0,0,,0,0.18,,,
0307.88,0.2,0,0.025,0.1,0,,0,0.18,,,
0307.91.10,0.295,0,0.025,0,0,,0,0.18,,,
0307.91.90,0.295,0,0.025,0,0,,0,0.18,,,
0307.92,0.245,0,0.025,0,0,,0,0.18,,,
0307.99.10,0.245,0,0.025,0,0,,0,0.18,,,
0307.99.90,0.245,0,0.025,0,0,,0,0.18,,,
0308.11,0.295,0,0.025,0.1,0,,0,0.18,,,
0308.12,0.2,0,0.025,0.1,0,,0,0.18,,,
0308.19,0.2,0,0.025,0.1,0,,0,0.18,,,
0308.21,0.295,0,0.025,0,0,,0,0.18,,,
0308.22,0.2,0,0.025,0,0,,0,0.18,,,
0308.29,0.2,0,0.025,0,0,,0,0.18,,,
0308.30,0.2,0,0.025,0,0,,0,0.18,,,
0308.90.10,0.2,0,0.025,0,0,,0,0.18,,,
0308.90.90,0.2,0,0.025,0,0,,0,0.18,,,
0309.10,0.295,0,0.025,0.05,0,,0,0.18,,,
0309.90,0,0,0,0,0,,0,0,,,
0309.90.11,0.295,0,0.025,0.1,0,,0,0.18,,,
0309.90.19,0.295,0,0.025,0.1,0,,0,0.18,,,
0309.90.90,0.295,0,0.025,0.1,0,,0,0.18,,,
0401.10,0.2,0.1,0.025,0.1,0,,0,0.18,,,
0401.20,0.2,0,0.025,0.1,0,,0,0.18,,,
0401.40,0.2,0,0.025,0.1,0,,0,0.18,,,
0401.50,0.2,0.1,0.025,0.1,0,,0,0.18,,,
0402.10,0.2,0,0,0,0,,0,0,,,
0402.21,0.2,0,0,0,0,,0,0,,,
0402.29,0.2,0,0,0,0,,0,0,,,
0402.91,0.2,0.16,0.025,0,0,,0,0.18,,,
0402.99.10,0,0,0,0,0,,0,0,,,
0402.99.90,0,0,0,0,0,,0,0,,,
0403.20,0,0,0.025,0.1,0,20% or Rs.750/= per kg | 10% or Rs.400/= per kg,0,0.18,,,
0403.90,0,0,0.025,0.1,0,20% or Rs.750/= per kg | 10% or Rs.400/= per kg,0,0.18,,,
0404.10,0.1,0.1,0.025,0.15,0,15% or Rs.85= per kg,0,0.18,,,
0404.90,0,0.1,0.025,0.2,0,20% or Rs.400/= per kg | 20% or Rs.400/= per kg,0,0.18,,,
0405.10,0,0,0.025,0.1,0,20% or Rs.750/= per kg | 10% or Rs.400/= per kg,0,0.18,,,
0405.20,0.2,0,0,0.1,0,,0,0,,,
0405.90,0.2,0,0.025,0.1,0,,0,0.18,,,
0406.10,0,0.1,0.025,0.25,0,20% or Rs.650/= per kg | 25% or Rs.500/= per kg,0,0.18,,,
0406.20,0.295,0,0.025,0.25,0,25% or Rs.500/= per kg,0,0.18,,,
